Episodes,Reward 1,Reward 2,Reward 3,Reward 4,Reward 5,Reward 6,Reward 7,Reward 8,Reward 9,Reward 10,Reward 11,Reward 12,Reward 13,Reward 14,Reward 15,mean,top,bottom
63,53,34,27,36,53,30,107,53,33,44,35,30,36,40,64,46.05,67.2321051585,24.8678948415
64,64,35,41,64,43,29,36,32,38,74,33,25,32,60,31,43.1,58.6424715233,27.5575284767
65,24,96,33,56,34,137,37,70,38,139,32,38,49,78,45,62.8,98.8797362576,26.7202637424
66,47,114,40,31,41,39,34,65,25,121,47,80,83,24,26,51.3,79.6680695223,22.9319304777
67,59,33,24,46,66,69,54,43,52,27,35,37,41,23,34,41.2,54.75146137,27.64853863
68,79,43,40,76,30,38,83,32,49,30,49,38,35,62,52,53.3,72.4973134085,34.1026865915
69,67,35,43,67,66,33,29,29,43,66,70,51,21,29,38,41.45,58.5917465179,24.3082534821
70,63,63,76,47,25,48,52,52,43,21,98,40,40,46,38,55.35,78.040770208,32.659229792
71,39,73,31,24,79,42,57,33,32,32,56,87,36,35,67,51.85,75.4592644617,28.2407355383
72,59,59,70,28,35,41,57,32,25,65,60,24,23,107,34,47.9,69.7316525401,26.0683474599
73,33,33,45,27,28,52,62,44,38,51,47,50,43,40,55,41.9,53.9869655763,29.8130344237
74,98,53,52,28,32,36,87,57,29,60,41,54,63,60,83,58.25,79.4430351022,37.0569648978
75,67,29,60,51,25,61,27,28,83,47,64,73,34,49,37,51.35,69.1212807938,33.5787192062
76,56,32,52,45,129,38,103,56,36,48,48,71,36,53,36,56.9,81.4826211613,32.3173788387
77,37,85,26,48,26,45,48,28,29,34,29,48,42,47,55,41.45,57.03837286,25.86162714
78,77,53,71,22,30,45,52,31,26,49,36,33,24,73,57,43.15,60.6647306423,25.6352693577
79,47,42,33,50,69,50,47,49,70,44,86,27,37,29,43,47.7,64.7790730674,30.6209269326
80,26,30,37,26,54,76,84,75,79,30,53,25,30,32,58,53.35,80.4196470142,26.2803529858
81,36,37,36,36,65,31,69,49,62,51,29,38,53,32,25,44.5,60.2463446051,28.7536553949
82,46,31,77,30,61,32,54,34,50,32,28,52,31,83,69,46.8,65.9630126189,27.6369873811
83,28,57,38,42,65,37,26,72,82,39,46,28,30,51,59,42.2,59.3973070107,25.0026929893
84,37,133,64,28,56,65,36,23,31,29,54,79,26,44,92,53.35,81.7276691302,24.9723308698
85,40,36,34,40,65,26,28,37,23,87,92,32,48,24,28,41.1,62.0281980515,20.1718019485
86,27,27,34,66,56,22,59,29,51,25,32,37,29,42,102,44.45,63.9475706989,24.9524293011
87,56,38,27,94,93,41,44,87,34,50,29,41,41,63,81,55.9,81.3597721907,30.4402278093
88,26,36,30,66,61,63,61,117,47,42,106,163,30,47,58,57.45,92.1145200078,22.7854799922
89,30,44,40,114,48,46,29,52,77,32,55,37,34,49,32,44.45,65.080776703,23.819223297
90,37,73,48,109,36,42,51,82,28,42,46,57,37,54,89,58.55,87.6604520929,29.4395479071
91,31,31,95,47,23,47,47,31,29,44,47,48,43,41,29,43.25,58.7177082983,27.7822917017
92,34,55,35,41,59,65,37,65,63,41,78,75,26,72,41,51.5,67.62614745,35.37385255
93,32,33,38,24,31,34,37,29,35,52,47,39,31,33,96,40.85,56.1651971309,25.5348028691
94,54,37,64,45,34,34,49,64,73,82,27,47,24,56,76,53.15,76.3749298906,29.9250701094
95,56,45,53,40,44,75,30,68,54,27,43,30,43,26,77,46.1,63.2430513773,28.9569486227
96,65,43,58,82,33,42,24,69,44,40,98,59,24,37,130,52.85,78.9878431035,26.7121568965
97,57,81,60,58,38,36,35,65,32,30,28,25,48,57,36,46.1,63.1722921102,29.0277078898
98,52,29,31,44,53,38,35,51,35,60,85,78,114,34,76,50.85,73.0506993726,28.6493006274
99,47,33,68,72,69,69,37,27,46,60,45,90,43,87,48,53.55,72.6080139242,34.4919860758
100,29,22,34,48,33,41,72,29,46,29,136,24,41,25,47,43.8,70.238807203,17.361192797
101,31,63,83,38,44,26,55,69,72,21,20,72,32,36,60,48.6,67.8610870328,29.3389129672
102,38,22,87,23,69,28,49,35,55,25,40,34,50,46,37,46.9,69.5155512401,24.2844487599
103,38,28,82,35,28,52,41,23,61,29,42,73,29,41,64,45.85,65.0642354026,26.6357645974
104,54,25,46,51,70,56,63,37,70,35,38,73,26,41,26,45.95,63.5940686321,28.3059313679
105,38,44,69,45,37,39,50,21,41,42,36,50,54,64,59,45.5,58.4716289607,32.5283710393
106,33,43,60,62,31,30,51,42,59,54,57,49,55,23,98,50.1,67.3135197783,32.8864802217
107,26,46,41,56,50,44,44,47,60,47,53,45,34,52,40,45.9,58.2198598762,33.5801401238
108,73,35,38,80,28,63,44,31,44,58,36,26,31,23,25,44,62.3188140273,25.6811859727
109,79,75,37,48,38,77,26,24,45,59,30,32,48,26,53,43.3,60.8831857481,25.7168142519
110,28,49,101,22,61,32,29,58,42,29,57,51,23,63,100,49.35,73.2164596188,25.4835403812
